ĒDENES <[n,p,f,s,g,5],'ēdene','apzīmētājs'>
Sinēvi <[n,p,m,s,a,5],'sinēve',''>
. <[z,s],'.',''>
Sofija <[n,p,f,s,n,4],'sofija',''>
mēģināja <[v,m,n,i,s,t,3,3,0,a,n],'mēģināt',''>
iztēloties <[v,m,y,n,0,i,2,0,0,0,n],'iztēloties',''>
, <[z,c],',',''>
kā <[r,_,m],'kā','veida apstāklis multi'>
viņa <[p,p,3,f,s,n,[0]],'viņa','teikuma priekšmets'>
pastiepj <[v,m,n,i,p,t,1,3,0,a,n],'pastiept',''>
sveicienam <[n,_,m,s,d,_],'sveiciens','netiešais papildinātājs multi'>
roku <[n,c,f,s,a,4],'roka','tiešais papildinātājs'>
un <[c,c,s],'un',''>
nosauc <[v,m,n,i,p,t,1,2,s,a,n],'nosaukt',''>
savu <[p,s,0,m,s,a,[0]],'savs','apzīmētājs'>
vārdu <[n,c,m,s,a,1],'vārds','tiešais papildinātājs'>
— <[z,d],'—',''>
Sinēve <[n,p,m,s,n,5],'sinēve',''>
Amundsena <[n,p,f,s,n,4],'amundsena',''>
, <[z,c],',',''>
bet <[c,c,s],'bet',''>
nē <[q,s],'nē',''>
, <[z,c],',',''>
to <[p,d,3,m,s,a,[s]],'tas',''>
bija <[v,c,n,i,s,i,i,3,0,a,n],'būt',''>
grūti <[r,_,_],'grūti',''>
iedomāties <[v,m,y,n,0,i,2,0,0,0,n],'iedomāties',''>
. <[z,s],'.',''>
Šķita <[v,m,n,i,s,i,1,3,0,a,n],'šķist',''>
, <[z,c],',',''>
ka <[c,s,s],'ka',''>
tā <[p,d,3,f,s,n,[s]],'tā',''>
ir <[v,c,n,i,p,i,i,3,0,a,n],'būt',''>
pavisam <[r,_,q],'pavisam',''>
cita <[p,i,0,f,s,n,[0]],'cita',''>
meitene <[n,c,f,s,n,5],'meitene',''>
, <[z,c],',',''>
kas <[p,r,0,0,0,n,[0]],'kas','teikuma priekšmets'>
stādījās <[v,m,y,i,s,i,3,3,0,a,n],'stādīties','izteicējs'>
priekšā <[r,_,p],'priekšā',''>
. <[z,s],'.',''>
Tad <[r,p,t],'tad',''>
viņa <[p,p,3,f,s,n,[0]],'viņa',''>
pielēca <[n,c,f,s,n,4],'pielēca',''>
kājās <[n,c,f,p,l,4],'kāja',''>
un <[c,c,s],'un',''>
iegāja <[v,m,n,i,s,i,i,3,0,a,n],'ieiet',''>
vannas <[n,c,f,s,g,4],'vanna',''>
istabā <[n,c,f,s,l,4],'istaba',''>
ar <[s,p,s,a,[n]],'ar',''>
dīvaino <[a,_,f,s,a,y,p],'dīvaina',''>
vēstuli <[n,c,f,s,a,5],'vēstule',''>
rokā <[n,c,f,s,l,4],'roka',''>
. <[z,s],'.',''>
Viņa <[p,p,3,f,s,n,[0]],'viņa','teikuma priekšmets'>
nostājās <[v,m,y,i,s,i,1,3,0,_,n],'nostāties',''>
spoguļa <[n,c,m,s,g,2],'spogulis','apzīmētājs'>
priekšā <[n,c,f,s,l,4],'priekša','laika apstāklis multi'>
un <[c,c,s],'un',''>
skatījās <[v,m,y,i,s,i,3,3,0,a,n],'skatīties','izteicējs'>
sev <[p,x,0,0,0,d,[0]],'sevis','netiešais papildinātājs multi'>
acīs <[n,c,f,p,l,6],'acs','laika apstāklis multi'>
. <[z,s],'.',''>
Es <[p,p,1,0,s,n,[0]],'es',''>
esmu <[v,c,n,i,p,i,i,1,s,a,n],'būt',''>
Sofija <[n,p,f,s,n,4],'sofija',''>
Amundsena <[n,p,f,s,n,4],'amundsena',''>
, <[z,c],',',''>
” <[x],'”',''>
— <[z,d],'—',''>
viņa <[p,p,3,f,s,n,[0]],'viņa','teikuma priekšmets'>
teica <[v,m,n,i,s,t,1,3,0,a,n],'teikt','izteicējs'>
. <[z,s],'.',''>
Meitene <[n,c,f,s,n,5],'meitene',''>
spogulī <[n,c,m,s,l,2],'spogulis',''>
neatbildēja <[v,m,n,i,s,t,3,3,0,a,y],'neatbildēt',''>
neko <[p,z,0,m,s,a,[0]],'nekas',''>
, <[z,c],',',''>
pat <[q,s],'pat',''>
ne <[q,s],'ne',''>
ar <[s,p,s,a,[n]],'ar',''>
mazāko <[a,f,m,s,a,y,c],'mazs',''>
vaibstu <[n,c,m,s,a,1],'vaibsts',''>
. <[z,s],'.',''>
Lai <[q,s],'lai',''>
ko <[p,q,0,0,0,a,[0]],'kas',''>
Sofija <[n,p,f,s,n,4],'sofija',''>
nedarītu <[v,m,n,c,0,t,3,0,0,a,y],'nedarīt',''>
, <[z,c],',',''>
meitene <[n,c,f,s,n,5],'meitene',''>
spogulī <[n,c,m,s,l,2],'spogulis',''>
darīja <[v,m,n,i,s,t,3,3,0,a,n],'darīt',''>
to <[p,d,3,m,s,a,[s]],'tas',''>
pašu <[p,g,0,m,s,a,[0]],'pats',''>
. <[z,s],'.',''>
Sofija <[n,p,f,s,n,4],'sofija',''>
mēģināja <[v,m,n,i,s,t,3,3,0,a,n],'mēģināt',''>
apsteigt <[v,m,n,n,0,t,1,0,0,0,n],'apsteigt',''>
viņu <[p,p,3,f,s,a,[0]],'viņa',''>
ar <[s,p,s,a,[n]],'ar',''>
kādu <[p,i,0,f,s,a,[0]],'kāda',''>
zibenīgi <[r,_,_],'zibenīgi',''>
strauju <[a,_,f,s,a,n,p],'strauja',''>
kustību <[n,c,f,s,a,4],'kustība',''>
, <[z,c],',',''>
bet <[c,c,s],'bet',''>
tā <[p,d,3,f,s,n,[s]],'tā',''>
otra <[m,c,s,m,s,g,n,[_]],'otrs',''>
tur <[r,_,p],'tur',''>
spogulī <[n,c,m,s,l,2],'spogulis',''>
bija <[v,c,n,i,s,i,i,3,0,a,n],'būt',''>
tikpat <[r,_,_],'tikpat',''>
veikla <[a,_,f,s,n,n,p],'veikla',''>
. <[z,s],'.',''>
Kas <[p,q,0,0,0,n,[0]],'kas',''>
tu <[p,p,2,0,s,n,[0]],'tu','teikuma priekšmets'>
esi <[v,m,n,i,p,i,i,2,s,a,n],'būt','izteicējs'>
? <[z,s],'?',''>
Sofija <[n,p,f,s,n,4],'sofija','teikuma priekšmets'>
vaicāja <[v,m,n,i,s,t,2,3,0,a,n],'vaicāt','izteicējs'>
. <[z,s],'.',''>
Viņa <[p,p,3,f,s,n,[0]],'viņa',''>
nesaņēma <[v,m,n,i,s,t,1,3,0,a,y],'nesaņemt',''>
atbildi <[n,c,f,s,a,5],'atbilde',''>
arī <[q,s],'arī',''>
tagad <[r,_,t],'tagad',''>
, <[z,c],',',''>
bet <[c,c,s],'bet',''>
uz <[s,p,s,a,[y]],'uz',''>
kādu <[p,i,0,f,s,a,[0]],'kāda',''>
pavisam <[r,_,q],'pavisam',''>
īsu <[a,_,m,s,a,n,p],'īss',''>
mirkli <[n,c,m,s,a,2],'mirklis',''>
viņu <[p,p,3,f,s,a,[0]],'viņa',''>
pārņēma <[v,m,n,i,s,t,1,3,0,a,n],'pārņemt',''>
šaubas <[n,c,f,p,n,4],'šauba',''>
par <[s,p,s,a,[n]],'par',''>
to <[p,d,3,m,s,a,[s]],'tā',''>
, <[z,c],',',''>
vai <[q,s],'vai',''>
jautātāja <[n,c,f,s,n,4],'jautātāja',''>
bija <[v,c,n,i,s,i,i,3,0,a,n],'būt',''>
viņa <[p,p,3,f,s,n,[0]],'viņa',''>
pati <[p,g,0,f,s,n,[0]],'pati',''>
vai <[c,c,s],'vai',''>
varbūt <[q,s],'varbūt',''>
meitene <[n,c,f,s,n,5],'meitene',''>
spogulī <[n,c,m,s,l,2],'spogulis',''>
. <[z,s],'.',''>
Sofija <[n,p,f,s,n,4],'sofija','teikuma priekšmets'>
piespieda <[v,m,n,i,s,t,1,3,0,a,n],'piespiest',''>
rādītājpirkstu <[n,c,m,s,a,1],'rādītājpirksts','tiešais papildinātājs'>
prievārdeklis <,'','vietas apstāklis multi'>
pie <[s,p,s,g,[y]],'pie',''>
degungala <[n,c,m,s,g,1],'degungals',''>
spogulī <[n,c,m,s,l,2],'spogulis','laika apstāklis multi'>
un <[c,c,s],'un',''>
sacīja <[v,m,n,i,s,t,3,3,0,a,n],'sacīt',''>
: <[z,o],':',''>
Tu <[p,p,2,0,s,n,[0]],'tu',''>
nomināls_izteicējs <,'','izteicējs'>
esi <[v,c,n,i,p,i,i,2,s,a,n],'būt',''>
es <[p,p,1,0,s,n,n,[0]],'es',''>
. <[z,s],'.',''>
Tā <[c,c,d],'tā',''>
kā <[c,s,s],'kā',''>
arī <[q,s],'arī',''>
tagad <[r,_,t],'tagad',''>
nebija <[v,g,n,i,s,i,i,3,0,a,y],'nebūt',''>
nekādas <[p,z,0,f,s,g,[0]],'nekāda',''>
atbildes <[n,c,f,s,g,5],'atbilde',''>
, <[z,c],',',''>
viņa <[p,p,3,f,s,n,[0]],'viņa',''>
apgrieza <[v,m,n,i,s,t,1,3,0,a,n],'apgriezt',''>
teikto <[v,m,n,p,d,m,s,a,p,s,y],'teikts',''>
otrādi <[r,_,m],'otrādi',''>
un <[c,c,s],'un',''>
sacīja <[v,m,n,i,s,t,3,3,0,a,n],'sacīt',''>
: <[z,o],':',''>
Es <[p,p,1,0,s,n,[0]],'es',''>
esmu <[v,c,n,i,p,i,i,1,s,a,n],'būt',''>
tu <[p,p,2,0,s,n,[0]],'tu',''>
. <[z,s],'.',''>
ka <[c,s,s],'ka',''>
viņa <[p,p,3,f,s,n,[0]],'viņa','teikuma priekšmets'>
vienmēr <[r,_,c],'vienmēr','cēloņa apstāklis'>
izteicējs <,'','izteicējs'>
būtu <[v,c,n,c,p,i,i,0,0,a,n],'būt',''>
apmierināta <[v,m,n,p,d,f,s,n,p,s,n],'apmierināta',''>
prievārdeklis <,'','netiešais papildinātājs multi'>
ar <[s,p,s,a,[n]],'ar',''>
savu <[p,s,0,m,s,a,[0]],'savs','apzīmētājs'>
izskatu <[n,c,m,s,a,1],'izskats',''>
. <[z,s],'.',''>
Sofijai <[n,p,f,s,d,4],'sofija',''>
bieži <[r,_,q],'bieži',''>
bija <[v,c,n,i,s,i,i,3,0,a,n],'būt',''>
nācies <[v,m,y,p,d,m,s,n,a,s,n],'nākties',''>
dzirdēt <[v,m,n,n,0,t,3,0,0,0,n],'dzirdēt',''>
, <[z,c],',',''>
ka <[c,s,s],'ka',''>
viņai <[p,p,3,f,s,d,[0]],'viņa',''>
esot <[v,c,n,r,p,i,i,0,0,a,n],'būt',''>
skaistas <[a,_,f,p,n,n,p],'skaista',''>
mandeļu <[n,c,f,p,g,5],'mandele',''>
acis <[n,c,f,p,n,6],'acs',''>
, <[z,c],',',''>
bet <[c,c,s],'bet',''>
to <[p,d,3,f,s,a,[s]],'tā',''>
droši <[a,_,m,p,n,n,p],'drošs',''>
vien <[q,s],'vien',''>
teica <[v,m,n,i,s,t,1,3,0,a,n],'teikt',''>
tikai <[q,s],'tikai',''>
tādēļ <[r,_,c],'tādēļ',''>
, <[z,c],',',''>
ka <[c,s,s],'ka',''>
deguns <[n,c,m,s,n,1],'deguns',''>
bija <[v,c,n,i,s,i,i,3,0,a,n],'būt',''>
par <[s,p,s,a,[n]],'par',''>
mazu <[a,_,m,s,a,n,p],'mazs',''>
un <[c,c,s],'un',''>
mute <[n,c,f,s,n,5],'mute',''>
par <[s,p,s,a,[n]],'par',''>
lielu <[a,_,f,s,a,n,p],'liela',''>
. <[z,s],'.',''>
Visļaunāk <[r,s,_],'ļauni',''>
bija <[v,m,n,i,s,i,i,3,0,a,n],'būt',''>
ar <[s,p,p,d,[n]],'ar',''>
matiem <[n,c,m,p,d,1],'mats',''>
— <[z,d],'—',''>
tie <[p,d,0,m,p,n,[s]],'tas',''>
nomināls_izteicējs <,'',''>
bija <[v,c,n,i,s,i,i,3,0,a,n],'būt',''>
tik <[r,_,q],'tik','mēra apstāklis'>
taisni <[a,_,m,p,n,n,p],'taisns',''>
, <[z,c],',',''>
ka <[c,c,s],'ka',''>
tos <[p,d,3,m,p,a,[n]],'tas',''>
nekādi <[r,_._],'nekādi',''>
nebija <[v,c,n,i,s,i,i,3,0,a,y],'nebūt',''>
iespējams <[a,r,m,n,n,p],'iespējams',''>
sakārtot <[v,m,n,n,0,t,2,0,0],'sakārtot',''>
. <,'',''>
Dažreiz <[r,_,t],'dažreiz','laika apstāklis multi'>
tētis <[n,c,m,s,n,2],'tētis','teikuma priekšmets'>
noglāstīja <[v,m,n,i,s,t,3,3,0,a,n],'noglāstīt',''>
viņas <[p,p,3,f,s,g,[0]],'viņa','apzīmētājs'>
matus <[n,c,m,p,a,1],'mats','tiešais papildinātājs'>
un <[c,c,s],'un',''>
sauca <[v,m,n,i,s,t,1,3,0,a,n],'saukt',''>
viņu <[p,p,3,f,s,a,[0]],'viņa',''>
par <[s,p,s,a,[n]],'par',''>
savu <[p,s,0,f,s,a,[0]],'sava',''>
meiteni <[n,c,f,s,a,5],'meitene',''>
ar <[s,p,s,a,[n]],'ar',''>
linukrāsas <[x],'linukrāsas',''>
matiem <[n,c,m,p,d,1],'mats',''>
kā <[q,s],'kā',''>
Kloda <[n,p,m,s,g,1],'klods',''>
Debisī <[n,p,_,_,_,n],'debisī',''>
klaviergabalu <[n,c,m,s,a,1],'klaviergabals',''>
. <[z,s],'.',''>
jo <[c,s,s],'jo',''>
viņam <[p,p,3,m,s,d,[0]],'viņš',''>
vis <[q,s],'vis',''>
nebija <[v,c,n,i,s,i,i,3,0,a,y],'nebūt',''>
lemts <[v,m,n,p,d,m,s,n,p,s,n],'lemts',''>
savus <[p,s,0,m,p,a,[0]],'savs',''>
melnos <[a,_,m,p,a,y,p],'melns',''>
matus <[n,c,m,p,a,1],'mats',''>
uz <[s,p,s,a,[y]],'uz',''>
visu <[p,g,0,m,s,a,[0]],'viss',''>
mūžu <[n,c,m,s,a,1],'mūžs',''>
paturēt <[v,m,n,n,0,t,3,0,0,0,n],'paturēt',''>
kaut <[q,s],'kaut',''>
vai <[q,s],'vai',''>
taisni <[r,_,_],'taisni',''>
karājamies <[v,m,y,p,u,0,0,0,0,0,0],'karāties',''>
uz <[s,p,s,a,[y]],'uz',''>
leju <[n,c,f,s,a,4],'leja',''>
. <[z,s],'.',''>
Sofijas <[n,p,f,s,g,4],'sofija',''>
matiem <[n,c,m,p,d,1],'mats','apzīmētājs'>
nelīdzēja <[v,m,n,i,s,t,3,3,0,a,y],'nelīdzēt','izteicējs'>
apvienojums <,'','teikuma priekšmets'>
nedz <[c,c,r],'nedz',''>
laka <[n,c,f,s,n,4],'laka',''>
, <[z,c],',',''>
nedz <[c,c,r],'nedz',''>
matu <[n,c,m,p,g,1],'mats','apzīmētājs'>
želeja <[n,c,f,s,n,4],'želeja',''>
. <[z,s],'.',''>
Dažreiz <[r,_,t],'dažreiz',''>
viņai <[p,p,3,f,s,d,[0]],'viņa',''>
pašas <[p,g,0,f,s,g,[0]],'pati',''>
izskats <[n,c,m,s,n,1],'izskats',''>
šķita <[v,m,n,i,s,i,1,3,0,a,n],'šķist',''>
tik <[r,_,_],'tik',''>
dīvains <[a,_,m,s,n,n,p],'dīvains',''>
, <[z,c],',',''>
ka <[c,s,s],'ka',''>
radās <[v,m,y,i,s,i,1,3,0,_,n],'rasties',''>
šaubas <[n,c,f,p,n,4],'šauba','teikuma priekšmets'>
, <[z,c],',',''>
vai <[c,s,s],'vai',''>
viņa <[p,p,3,f,s,n,[0]],'viņa',''>
maz <[q,s],'maz',''>
ir <[v,c,n,i,p,i,i,3,0,a,n],'būt',''>
normāla <[a,_,f,s,n,n,p],'normāla',''>
. <[z,s],'.',''>
Māte <[n,c,f,s,n,5],'māte',''>
kaut <[q,s],'kaut',''>
ko <[p,q,0,0,0,a,[0]],'kas',''>
bija <[v,c,n,i,s,i,i,3,0,a,n],'būt',''>
minējusi <[v,m,n,p,d,f,s,n,a,s,n],'minēt',''>
par <[s,p,p,d,[n]],'par',''>
īpaši <[r,_,_],'īpaši',''>
smagām <[a,_,f,p,d,n,p],'smaga',''>
dzemdībām <[n,c,f,p,d,4],'dzemdība',''>
. <[z,s],'.',''>
Bet <[c,c,s],'bet',''>
vai <[q,s],'vai',''>
tiešām <[r,_,_],'tiešām',''>
dzimšanas <[n,c,f,s,g,4],'dzimšana',''>
norise <[n,c,f,s,n,5],'norise',''>
spēj <[v,o,n,i,p,t,1,2,s,a,n],'spēt',''>
tik <[r,_,_],'tik',''>
ļoti <[r,_,q],'ļoti',''>
ietekmēt <[v,m,n,n,0,t,2,0,0,0,n],'ietekmēt',''>
cilvēka <[n,c,m,s,g,1],'cilvēks',''>
izskatu <[n,c,m,s,a,1],'izskats',''>
? <[z,s],'?',''>
Vai <[q,s],'vai',''>
nav <[v,c,n,i,p,i,i,3,0,a,y],'būt',''>
jocīgi <[r,_,_],'jocīgi',''>
, <[z,c],',',''>
ka <[c,s,s],'ka',''>
viņa <[p,p,3,f,s,n,[0]],'viņa','teikuma priekšmets'>
nezina <[v,m,n,i,p,t,3,3,0,a,y],'nezināt',''>
, <[z,c],',',''>
kas <[p,r,0,0,0,n,[0]],'kas',''>
viņa <[p,p,3,f,s,n,[0]],'viņa',''>
ir <[v,m,n,i,p,t,1,3,0,a,n],'irt',''>
? <[z,s],'?',''>
Vai <[q,s],'vai',''>
nav <[v,c,n,i,p,i,i,3,0,a,y],'būt',''>
muļķīgi <[r,_,_],'muļķīgi',''>
arī <[q,s],'arī',''>
tas <[p,d,3,m,s,n,[s]],'tas',''>
, <[z,c],',',''>
ka <[c,s,s],'ka',''>
viņa <[p,p,3,f,s,n,[0]],'viņa',''>
nav <[v,c,n,i,p,i,i,3,0,a,y],'būt',''>
noteicēja <[n,c,m,s,g,1],'noteicējs',''>
pati <[p,g,0,f,s,n,[0]],'pati',''>
par <[s,p,s,a,[n]],'par',''>
savu <[p,s,0,f,s,a,[0]],'sava',''>
izskatu <[v,m,n,i,p,t,3,1,s,a,n],'izskatīt',''>
? <[z,s],'?',''>
Tas <[p,d,3,m,s,n,[s]],'tas',''>
nāca <[v,m,n,i,s,i,1,3,0,a,n],'nākt',''>
kā <[q,s],'kā',''>
kaut <[q,s],'kaut',''>
kas <[p,q,0,0,0,n,[0]],'kas',''>
iepriekš <[r,_,t],'iepriekš',''>
dots <[v,m,n,p,d,m,s,n,p,s,n],'dots',''>
. <[z,s],'.',''>
Viņa <[p,p,3,f,s,n,[0]],'viņa',''>
varbūt <[q,s],'varbūt',''>
modāls_izteicējs <,'',''>
varēja <[v,o,n,i,s,t,3,3,0,a,n],'varēt',''>
izvēlēties <[v,m,y,n,0,i,3,0,0,0,n],'izvēlēties',''>
sev <[p,x,0,0,0,d,[0]],'sevis','netiešais papildinātājs multi'>
draugus <[n,c,m,p,a,1],'draugs',''>
, <[z,c],',',''>
bet <[c,c,s],'bet',''>
viņa <[p,p,3,f,s,n,[0]],'viņa',''>
nebija <[v,c,n,i,s,i,i,3,0,a,y],'nebūt',''>
izvēlējusies <[v,m,y,p,d,f,s,n,a,s,n],'izvēlēties',''>
pati <[p,g,0,f,s,n,[0]],'pati',''>
sevi <[p,x,0,0,0,a,[0]],'sevis',''>
. <[z,s],'.',''>
Viņa <[p,p,3,f,s,n,[0]],'viņa',''>
vispār <[r,_,_],'vispār',''>
nebija <[v,c,n,i,s,i,i,3,0,a,y],'nebūt',''>
izvēlējusies <[v,m,y,p,d,f,s,n,a,s,n],'izvēlēties',''>
kļūt <[v,m,n,n,0,t,1,0,0,0,n],'kļūt',''>
par <[s,p,s,a,[n]],'par',''>
cilvēku <[n,c,m,s,a,1],'cilvēks',''>
. <[z,s],'.',''>
Kas <[p,q,0,0,0,n,[0]],'kas',''>
ir <[v,c,n,i,p,i,i,3,0,a,n],'būt',''>
cilvēks <[n,c,m,s,n,1],'cilvēks',''>
? <[z,s],'?',''>
Sofija <[n,p,f,s,n,4],'sofija',''>
atkal <[r,_,t],'atkal',''>
pavērās <[v,m,y,i,s,i,1,3,0,_,n],'pavērties',''>
uz <[s,p,s,a,[y]],'uz',''>
meiteni <[n,c,f,s,a,5],'meitene',''>
spogulī <[n,c,m,s,l,2],'spogulis',''>
. <[z,s],'.',''>
Es <[p,p,1,0,s,n,[0]],'es','teikuma priekšmets'>
domāju <[v,m,n,i,p,t,2,1,s,a,n],'domāt',''>
, <[z,c],',',''>
izteicējs <,'',''>
būs <[v,c,n,i,f,i,i,3,0,a,n],'būt',''>
jākāpj <[v,m,n,d,0,t,1,0,0,a,n],'kāpt',''>
augšā <[n,c,f,s,l,4],'augša','laika apstāklis multi'>
un <[c,c,s],'un',''>
jāsāk <[v,m,n,d,0,t,1,0,0,a,n],'sākt',''>
gatavot <[v,m,n,n,0,t,2,0,0,0,n],'gatavot',''>
mājasdarbu <[n,c,m,s,a,1],'mājasdarbs','tiešais papildinātājs'>
dabasmācībā <[n,c,f,s,l,4],'dabasmācība',''>
, <[z,c],',',''>
viņa <[p,p,3,f,s,n,[0]],'viņa',''>
teica <[v,m,n,i,s,t,1,3,0,a,n],'teikt',''>
kā <[q,s],'kā',''>
atvainodamās <[v,m,y,p,u,f,_,_,_,_,_],'atvainoties',''>
. <[z,s],'.',''>
Taču <[c,c,s],'taču',''>
nākamajā <[v,m,n,p,d,m,s,l,p,p,y],'nākt',''>
mirklī <[n,c,m,s,l,2],'mirklis',''>
viņa <[p,p,3,f,s,n,[0]],'viņa',''>
jau <[r,_,t],'jau',''>
bija <[v,c,n,i,s,i,i,3,0,a,n],'būt',''>
ārā <[r,_,p],'ārā',''>
, <[z,c],',',''>
uz <[s,p,s,g,[y]],'uz',''>
taciņas <[n,c,f,s,g,4],'taciņa',''>
. <[z,s],'.',''>
Es <[p,p,1,0,s,n,[0]],'es',''>
labāk <[r,c,_],'labi',''>
iešu <[v,m,n,i,f,i,i,1,s,a,n],'iet',''>
dārzā <[n,c,m,s,l,1],'dārzs',''>
, <[z,c],',',''>
viņa <[p,p,3,f,s,n,[0]],'viņa','teikuma priekšmets'>
nodomāja <[v,m,n,i,s,t,2,3,0,a,n],'nodomāt','izteicējs'>
. <[z,s],'.',''>
Minci <[n,c,m,s,a,2],'mincis',''>
, <[z,c],',',''>
minci <[n,c,m,s,v,2],'mincis',''>
, <[z,c],',',''>
minci <[n,c,m,s,a,2],'mincis',''>
! <[z,s],'!',''>
Sofija <[n,p,f,s,n,4],'sofija',''>
izšķūrēja <[v,m,n,i,s,t,2,3,0,a,n],'izšķūrēt',''>
runci <[n,c,m,s,a,2],'runcis',''>
ārā <[r,_,p],'ārā',''>
uz <[s,p,p,d,[y]],'uz',''>
trepēm <[n,c,f,p,d,5],'trepe',''>
un <[c,c,s],'un',''>
aizvēra <[v,m,n,i,s,t,1,3,0,a,n],'aizvērt',''>
durvis <[n,c,f,p,a,6],'durvs',''>
no <[s,p,s,g,[y]],'no',''>
ārpuses <[n,c,f,s,g,5],'ārpuse',''>
. <[z,s],'.',''>
Kad <[r,_,t],'kad',''>
viņa <[p,p,3,f,s,n,[0]],'viņa',''>
tā <[r,p,m],'tā',''>
stāvēja <[v,m,n,i,s,t,3,3,0,a,n],'stāvēt',''>
ārā <[r,_,p],'ārā',''>
uz <[s,p,s,g,[y]],'uz',''>
grantēta <[v,m,n,p,d,m,s,g,p,s,n],'grantēts',''>
celiņa <[n,c,m,s,g,1],'celiņš',''>
ar <[s,p,s,a,[n]],'ar',''>
noslēpumaino <[a,_,f,s,a,y,p],'noslēpumaina',''>
vēstuli <[n,c,f,s,a,5],'vēstule',''>
rokā <[n,c,f,s,l,4],'roka',''>
, <[z,c],',',''>
viņu <[p,p,3,f,s,a,[0]],'viņa',''>
pēkšņi <[r,_,m],'pēkšņi',''>
pārņēma <[v,m,n,i,s,t,1,3,0,a,n],'pārņemt',''>
brīnumaina <[a,_,f,s,n,n,p],'brīnumaina',''>
nojausma <[n,c,f,s,n,4],'nojausma',''>
. <[z,s],'.',''>
Sajūta <[n,c,f,s,n,4],'sajūta',''>
bija <[v,c,n,i,s,i,i,3,0,a,n],'būt',''>
tāda <[p,d,0,f,s,n,[a]],'tāda',''>
, <[z,c],',',''>
it <[q,s],'it',''>
kā <[q,s],'kā',''>
viņa <[p,p,3,f,s,n,[0]],'viņa',''>
būtu <[v,m,n,c,p,i,i,0,0,a,n],'būt',''>
kāda <[p,i,0,f,s,n,[0]],'kāda',''>
lelle <[n,c,f,s,n,5],'lelle',''>
, <[z,c],',',''>
kas <[p,r,0,0,0,n,[0]],'kas',''>
gulējusi <[v,m,n,p,d,f,s,n,a,s,n],'gulēt',''>
ratiņos <[n,c,m,p,l,1],'ratiņš',''>
un <[c,c,s],'un',''>
pēkšņi <[r,_,m],'pēkšņi',''>
ir <[v,c,n,i,p,i,i,3,0,a,n],'būt',''>
atdzīvojusies <[v,m,y,p,d,f,s,n,a,s,n],'atdzīvoties',''>
. <[z,s],'.',''>
Vai <[q,s],'vai',''>
nav <[v,c,n,i,p,i,i,3,0,a,y],'būt',''>
dīvaini <[r,_,_],'dīvaini',''>
, <[z,c],',',''>
ka <[c,s,s],'ka',''>
viņa <[p,p,3,f,s,n,[0]],'viņa',''>
vispār <[r,_,_],'vispār',''>
ir <[v,m,n,i,p,i,i,3,0,a,n],'būt',''>
pasaulē <[n,c,f,s,l,5],'pasaule',''>
tieši <[r,_,_],'tieši',''>
tagad <[r,_,t],'tagad',''>
un <[c,c,s],'un',''>
ka <[c,s,s],'ka',''>
viņa <[p,p,3,f,s,n,[0]],'viņa',''>
var <[v,o,n,i,p,t,3,3,0,a,n],'varēt',''>
klīst <[v,m,n,n,0,i,1,0,0,0,n],'klīst',''>
pa <[s,p,s,a,[y]],'pa',''>
to <[p,d,3,m,s,a,[s]],'tas',''>
kā <[q,s],'kā',''>
brīnumu <[n,c,m,p,g,1],'brīnums',''>
pasakā <[n,c,f,s,l,4],'pasaka',''>
? <[z,s],'?',''>
Šerekāns <[n,p,m,s,n,1],'šerekāns',''>
viegli <[r,_,m],'viegli',''>
pārlēca <[v,m,n,i,s,i,1,3,0,a,n],'pārlēkt',''>
nožogojumam <[n,c,m,s,d,1],'nožogojums',''>
un <[c,c,s],'un',''>
veikli <[r,_,_],'veikli',''>
noslēpās <[x],'noslēpties',''>
starp <[s,p,p,d,[y]],'starp',''>
jāņogu <[n,c,f,p,g,4],'jāņoga',''>
krūmiem <[n,c,m,p,d,1],'krūms',''>
. <[z,s],'.',''>
Dzīvs <[a,_,m,s,n,n,p],'dzīvs',''>
kaķis <[n,c,m,s,n,2],'kaķis',''>
, <[z,c],',',''>
dzīvs <[a,_,m,s,n,n,p],'dzīvs',''>
, <[z,c],',',''>
sākot <[v,m,n,p,u,0,0,0,0,0,0],'sākt',''>
no <[s,p,p,d,[y]],'no',''>
smalkajām <[a,_,f,p,d,y,p],'smalka',''>
, <[z,c],',',''>
gaišajām <[a,_,f,p,d,y,p],'gaiša',''>
spalviņām <[n,c,f,p,d,4],'spalviņa',''>
ausu <[n,c,f,p,g,6],'auss',''>
galos <[n,c,m,p,l,1],'gals',''>
līdz <[v,m,n,i,p,t,3,3,0,a,n],'līdzēt',''>
pat <[q,s],'pat',''>
gludā <[a,_,m,s,g,y,p],'gluds',''>
ķermeņa <[n,c,m,s,g,2],'ķermenis',''>
astes <[n,c,f,s,g,5],'aste',''>
galiņam <[n,c,m,s,d,1],'galiņš',''>
. <[z,s],'.',''>
Arī <[q,s],'arī',''>
viņš <[p,p,3,m,s,n,[0]],'viņš',''>
ir <[v,c,n,i,p,i,i,3,0,a,n],'būt',''>
dārzā <[n,c,m,s,l,1],'dārzs',''>
, <[z,c],',',''>
bet <[c,c,s],'bet',''>
diez <[q,s],'diez',''>
vai <[q,s],'vai',''>
viņš <[p,p,3,m,s,n,[0]],'viņš',''>
to <[p,d,3,m,s,a,[s]],'tas',''>
tik <[q,s],'tik',''>
skaidri <[r,_,_],'skaidri',''>
